year,date_min,area_m2_min,date_closest,area_m2_closest
1985,1985-08-31,48600,1985-09-16,132300
1986,1986-09-03,79200,1986-10-05,134100
1987,1987-09-22,15300,1987-09-22,15300
1988,1988-08-23,12600,1988-10-10,15300
1989,1989-10-13,8100,1989-10-13,8100
1990,1990-09-30,0,1990-09-30,0
1991,1991-10-03,10800,1991-10-03,10800
1992,1992-10-05,0,1992-10-05,0
1993,1993-08-05,123300,1993-09-22,134100
1994,1994-09-25,19800,1994-10-11,134100
1995,1995-09-21,58500,1995-09-12,63900
1996,1996-08-29,34200,1996-08-29,34200
1997,1997-09-17,39600,1997-09-17,39600
1999,1999-10-25,28800,1999-10-25,28800
2000,2000-08-24,19800,2000-08-24,19800
2001,2001-09-28,0,2001-09-28,0
2002,2002-09-15,1800,2002-09-15,1800
2003,2003-09-18,0,2003-10-04,0
2004,2004-10-06,16200,2004-10-06,16200
2005,2005-08-06,129600,2005-08-06,129600
2006,2006-08-09,63000,2006-10-12,134100
2007,2007-08-28,15300,2007-08-28,15300
2008,2008-09-15,16200,2008-09-15,16200
2009,2009-08-17,56700,2009-08-17,56700
2010,2010-09-21,10800,2010-09-21,10800
2011,2011-09-24,65700,2011-09-24,65700
2014,2014-09-16,2700,2014-10-18,14400
2015,,900,,900
2016,,0,,0
2017,2017-09-08,37800,2017-10-10,134100
2018,2018-08-26,0,2018-09-27,0
2019,2019-10-16,51300,2019-10-16,51300
2020,2020-09-16,13500,2020-09-16,13500
2021,2021-09-03,0,2021-09-03,0
2022,2022-09-22,0,2022-10-08,0
2023,2023-09-09,55800,2023-09-25,55800
2024,2024-10-13,23400,2024-10-13,23400
