"year","sca_m2_rooting","pt1_snow","pt2_snow"
1985,42300,1,1
1986,43200,1,1
1987,20700,0,1
1988,11700,0,1
1989,9000,0,1
1990,3600,0,0
1991,8100,0,1
1992,0,0,0
1993,43200,1,1
1994,20700,0,1
1995,41400,1,1
1996,41400,1,1
1997,42300,1,1
1998,99000,1,0
1999,31500,1,1
2000,23400,1,1
2001,0,0,0
2002,900,0,0
2003,0,0,0
2004,19800,1,1
2005,43200,1,1
2006,43200,1,1
2007,25200,0,1
2008,21600,0,0
2009,43200,1,1
2010,10800,0,1
2011,36900,1,1
2012,NA,NA,NA
2013,NA,NA,NA
2014,0,0,0
2015,0,0,0
2016,0,0,0
2017,38700,1,1
2018,0,0,0
2019,42300,1,1
2020,19800,0,1
2021,0,0,0
2022,0,0,0
2023,42300,1,1
2024,28800,0,1
